id,created_at,name,provider,model_id,config,capabilities,internal_name,integration_id,description,enabled,finetunable,tokens_million_price,depreciated,features,limitations,recommended,parameters,modalities,method,processing,model_provider_id,reference_id,internal_note,slug
1,2025-11-24 23:17:04.63912+00,Llama 3.1 8B,Cerebras,llama3.1-8b,{},[],cerebras/llama-3-1-8b,9223ad19-c22c-4dcf-ab27-57237f69dae1,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},6,,,llama-3-1-8b
2,2025-11-24 23:17:04.63912+00,gpt-oss-120b,Cerebras,gpt-oss-120b,{},[],cerebras/gpt-oss-120b,9223ad19-c22c-4dcf-ab27-57237f69dae1,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},6,,,gpt-oss-120b
3,2025-11-24 23:57:47.912472+00,GPT OSS 120B,Groq,openai/gpt-oss-120b,"{""method"":""response"",""features"":{""mcp"":true,""batch"":false,""tools"":true,""reasoning"":true,""streaming"":true,""fine_tuning"":false,""structured_output"":true},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":false},""top_p"":{""max"":1,""min"":0,""default"":0.5,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":1,""min"":0,""default"":0.5,""enabled"":true},""presence_penalty"":{""enabled"":false},""reasoning_effort"":{""enum"":[""low"",""medium"",""high""],""default"":""medium"",""enabled"":true},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""enabled"":true}},""processing"":{}}",[],groq/gpt-oss-120b,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,gpt-oss-120b
4,2025-11-24 23:57:47.912472+00,GPT OSS 20B,Groq,openai/gpt-oss-20b,"{""method"":""response"",""features"":{""mcp"":true,""batch"":false,""tools"":true,""reasoning"":true,""streaming"":true,""fine_tuning"":false,""structured_output"":true},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":false},""top_p"":{""max"":1,""min"":0,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":1,""min"":0,""enabled"":true},""presence_penalty"":{""enabled"":false},""reasoning_effort"":{""enum"":[""low"",""medium"",""high""],""default"":""medium"",""enabled"":true},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""default"":10000,""enabled"":true}},""processing"":{}}",[],groq/gpt-oss-20b,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,gpt-oss-20b
5,2025-11-24 23:57:47.912472+00,Kimi K2 0905,Groq,moonshotai/kimi-k2-instruct-0905,"{""method"":""response"",""features"":{""mcp"":false,""batch"":false,""tools"":true,""reasoning"":false,""streaming"":true,""fine_tuning"":false,""structured_output"":true},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":true},""top_p"":{""max"":1,""min"":0,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":1,""min"":0,""enabled"":true},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""default"":8000,""enabled"":true}},""processing"":{}}",[],groq/kimi-k2-0905,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,kimi-k2-0905
6,2025-11-24 23:57:47.912472+00,Llama 3.1 70B Versatile,Groq,llama-3.1-70b-versatile,"{""method"":""response"",""features"":{""mcp"":true,""batch"":false,""tools"":true,""reasoning"":false,""streaming"":true,""fine_tuning"":false,""structured_output"":true},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":true},""top_p"":{""max"":1,""min"":0,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":1,""min"":0,""enabled"":true},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""default"":1024,""enabled"":true}},""processing"":{}}",[],groq/llama-3-1-70b-versatile,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,llama-3-1-70b-versatile
7,2025-11-24 23:57:47.912472+00,Llama 4 Scout 17B 16E,Groq,meta-llama/llama-4-scout-17b-16e-instruct,"{""method"":""response"",""features"":{""mcp"":true,""batch"":false,""tools"":true,""reasoning"":false,""streaming"":true,""fine_tuning"":false,""structured_output"":true},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":true,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":true},""top_p"":{""max"":1,""min"":0,""default"":0.7,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":2,""min"":0,""enabled"":true},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""default"":8000,""enabled"":true}},""processing"":{}}",[],groq/llama-4-scout-17b-16e,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,llama-4-scout-17b-16e
8,2025-11-24 23:57:47.912472+00,Llama Guard 4 12B,Groq,llama-guard-4-12b,"{""method"":""response"",""features"":{""mcp"":false,""batch"":false,""tools"":false,""reasoning"":false,""streaming"":true,""fine_tuning"":false,""structured_output"":false},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":true,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":true},""top_p"":{""max"":1,""min"":0,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":1,""min"":0,""enabled"":true},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""enabled"":true}},""processing"":{}}",[],groq/llama-guard-4-12b,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,llama-guard-4-12b
9,2025-11-24 23:57:47.912472+00,Qwen 3 32B,Groq,qwen/qwen3-32b,"{""method"":""response"",""features"":{""mcp"":false,""batch"":false,""tools"":true,""reasoning"":true,""streaming"":false,""fine_tuning"":false,""structured_output"":false},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":true},""top_p"":{""max"":1,""min"":0,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":1,""min"":0,""enabled"":true},""presence_penalty"":{""enabled"":false},""reasoning_effort"":{""enabled"":false},""frequency_penalty"":{""enabled"":false},""max_completion_tokens"":{""min"":0,""enabled"":true}},""processing"":{""reasoning.message_think_tag"":true}}",[],groq/qwen-3-32b,c19eef3e-99bf-4ecf-9117-249a32b24100,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},3,,,qwen-3-32b
10,2025-11-25 17:31:17.974794+00,Grok 4,xAI,grok-4,"{""method"":""completion"",""features"":{""mcp"":false,""batch"":false,""tools"":true,""reasoning"":true,""streaming"":true,""fine_tuning"":false,""structured_output"":true},""modalities"":{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false},""parameters"":{""seed"":{""enabled"":true},""top_p"":{""max"":1,""min"":0,""enabled"":true},""verbosity"":{""enabled"":false},""temperature"":{""max"":2,""min"":0,""enabled"":true},""presence_penalty"":{""max"":2,""min"":-2,""enabled"":true},""frequency_penalty"":{""max"":2,""min"":-2,""enabled"":true},""max_completion_tokens"":{""min"":0,""enabled"":true}},""processing"":{}}",[],xai/grok-4,0bea2e41-fee8-47c9-b428-0d3b4fc221f0,,true,false,"{""input"":0,""output"":0,""audio_input"":0,""batch_input"":0,""audio_output"":0,""batch_output"":0,""cached_input"":0,""reasoning_output"":0,""batch_cached_input"":0,""cached_audio_input"":0}",false,{},{},false,"{""seed"":{""enabled"":false},""top_p"":{""enabled"":false},""verbosity"":{""enabled"":false},""max_tokens"":{""enabled"":false},""temperature"":{""enabled"":false},""presence_penalty"":{""enabled"":false},""frequency_penalty"":{""enabled"":false}}","{""input_text"":true,""input_audio"":false,""input_image"":false,""output_text"":true,""output_audio"":false,""output_image"":false}",,{},4,,,grok-4
